rmax,method,q,repeat,elapsed_ms,download_bytes,upload_bytes,peak_stash
64,rank_serial,16,0,78.03520000015851,1168244,913500,17
64,rank_serial,16,1,75.3201999978046,1167924,913500,15
64,rank_serial,16,2,79.35530000031576,1168436,913500,16
64,rank_serial,16,3,80.40629999959492,1167412,913500,17
64,rank_serial,16,4,75.28289999754634,1167540,913500,14
64,rank_serial,64,0,307.72809999689343,4644660,3635100,17
64,rank_serial,64,1,303.7581999997201,4645908,3635100,18
64,rank_serial,64,2,301.2123000007705,4645940,3635100,18
64,rank_serial,64,3,299.8770999984117,4645940,3635100,18
64,rank_serial,64,4,302.2733999969205,4645204,3635100,18
64,rank_serial,256,0,1211.2589999996999,18557652,14521500,19
64,rank_serial,256,1,1217.5822999997763,18557556,14521500,19
64,rank_serial,256,2,1203.240700000606,18560180,14521500,19
64,rank_serial,256,3,1208.1971000006888,18561908,14521500,17
64,rank_serial,256,4,1207.9449999982899,18561332,14521500,20
64,rank_batch,16,0,51.76740000024438,773088,604800,14
64,rank_batch,16,1,50.692000000708504,772576,604800,17
64,rank_batch,16,2,50.68720000053872,773152,604800,19
64,rank_batch,16,3,51.65599999963888,772896,604800,15
64,rank_batch,16,4,49.88070000035805,773248,604800,16
64,rank_batch,64,0,133.61910000094213,2061280,1612800,16
64,rank_batch,64,1,133.58230000085314,2060832,1612800,17
64,rank_batch,64,2,133.9129000007233,2060736,1612800,18
64,rank_batch,64,3,135.75409999975818,2060992,1612800,18
64,rank_batch,64,4,132.03340000109165,2061760,1612800,19
64,rank_batch,256,0,334.98689999760245,5154240,4032000,18
64,rank_batch,256,1,331.5459999976156,5153920,4032000,18
64,rank_batch,256,2,340.44880000146804,5152608,4032000,21
64,rank_batch,256,3,334.5042000000831,5152928,4032000,21
64,rank_batch,256,4,332.6737999996112,5154624,4032000,17
64,dense,16,0,25.158600001304876,394388,308700,16
64,dense,16,1,25.405200001841877,394420,308700,14
64,dense,16,2,25.01010000196402,394452,308700,18
64,dense,16,3,26.04369999971823,394964,308700,16
64,dense,16,4,25.24279999852297,395380,308700,17
64,dense,64,0,101.09039999952074,1554132,1215900,16
64,dense,64,1,99.44650000034017,1554388,1215900,19
64,dense,64,2,102.11450000133482,1553492,1215900,18
64,dense,64,3,100.656099999469,1554868,1215900,17
64,dense,64,4,99.64190000027884,1553076,1215900,14
64,dense,256,0,303.86549999821,4646356,3635100,18
64,dense,256,1,304.34299999978975,4644916,3635100,18
64,dense,256,2,296.51469999953406,4646932,3635100,17
64,dense,256,3,300.01330000231974,4644980,3635100,19
64,dense,256,4,299.129000002722,4645844,3635100,17
256,rank_serial,16,0,126.31340000007185,1757676,1317588,21
256,rank_serial,16,1,126.10510000013164,1758316,1317588,19
256,rank_serial,16,2,125.84480000077747,1757740,1317588,15
256,rank_serial,16,3,128.26289999793516,1758860,1317588,19
256,rank_serial,16,4,127.6627000006556,1757676,1317588,19
256,rank_serial,64,0,504.2768999992404,7003276,5248020,21
256,rank_serial,64,1,501.35560000126134,7002028,5248020,24
256,rank_serial,64,2,505.0283999989915,7003852,5248020,21
256,rank_serial,64,3,508.57360000009066,7002892,5248020,21
256,rank_serial,64,4,509.72769999862066,7001900,5248020,21
256,rank_serial,256,0,2033.899099998962,27981292,20969748,21
256,rank_serial,256,1,2029.9761000023864,27977484,20969748,23
256,rank_serial,256,2,2023.8329000021622,27980428,20969748,22
256,rank_serial,256,3,2019.4144000015513,27974988,20969748,24
256,rank_serial,256,4,2030.5463000004238,27979052,20969748,21
256,rank_batch,16,0,90.90400000059162,1271200,952832,18
256,rank_batch,16,1,90.85860000050161,1271616,952832,22
256,rank_batch,16,2,91.08669999841368,1270976,952832,24
256,rank_batch,16,3,92.56549999918207,1270880,952832,22
256,rank_batch,16,4,91.31920000072569,1271616,952832,20
256,rank_batch,64,0,278.16660000098636,3814720,2858496,20
256,rank_batch,64,1,272.8857000001881,3812256,2858496,20
256,rank_batch,64,2,274.4157000015548,3815392,2858496,23
256,rank_batch,64,3,275.23399999699905,3814432,2858496,23
256,rank_batch,64,4,276.05539999785833,3813312,2858496,22
256,rank_batch,256,0,737.852300000668,10169312,7622656,21
256,rank_batch,256,1,737.6965000003111,10169760,7622656,25
256,rank_batch,256,2,737.6103999995394,10169440,7622656,25
256,rank_batch,256,3,741.7022999979963,10170016,7622656,22
256,rank_batch,256,4,735.4774999985239,10170688,7622656,21
256,dense,16,0,35.3054000006523,486508,364756,16
256,dense,16,1,34.68240000074729,486156,364756,16
256,dense,16,2,35.051800001383526,486956,364756,18
256,dense,16,3,35.96599999946193,486412,364756,19
256,dense,16,4,35.250499997346196,486348,364756,18
256,dense,64,0,140.5640000011772,1916780,1436692,19
256,dense,64,1,145.42439999786438,1917132,1436692,21
256,dense,64,2,139.25469999958295,1916460,1436692,19
256,dense,64,3,138.86320000165142,1917196,1436692,24
256,dense,64,4,140.33669999844278,1917644,1436692,19
256,dense,256,0,550.6271999984165,7637580,5724436,21
256,dense,256,1,546.8873999998323,7636364,5724436,25
256,dense,256,2,556.624600001669,7639340,5724436,24
256,dense,256,3,552.8405000004568,7638060,5724436,26
256,dense,256,4,552.8202000023157,7637292,5724436,27
