n,density,kind,rep,owner_ms,cache_ms,retags,delta_bytes
16384,0.5,content,3,0.0408,0.0029,1,0
16384,0.5,keyword,4,0.1,0.0209,0,80
16384,0.5,content,4,0.1017,0.005,1,0
16384,0.5,keyword,5,0.0807,0.0179,0,80
16384,0.5,content,5,0.0511,0.0035,1,0
16384,0.5,keyword,6,0.0514,0.0121,0,80
16384,0.5,content,6,0.0352,0.0028,1,0
16384,0.5,keyword,7,0.0499,0.0111,0,80
16384,0.5,content,7,0.2082,0.009,1,0
16384,0.5,keyword,8,0.0535,0.0143,0,80
16384,0.5,content,8,0.0488,0.0027,1,0
16384,0.5,keyword,9,0.0502,0.0115,0,80
16384,0.5,content,9,0.035,0.0024,1,0
