n,missing,c,trials,theoretical_detection,empirical_detection,wilson95_low,wilson95_high
1024,10,16,20000,0.14630858688190318,0.1457,0.14087849370280744,0.15065758304654828
1024,10,64,20000,0.47708364354995403,0.47285,0.46593658045203845,0.47977384710580806
1024,10,128,20000,0.7385817703920947,0.7417,0.7355878915900403,0.7477192781804388
1024,52,64,20000,0.968109395746042,0.96975,0.9672846061528001,0.9720349759724897
128,6,16,20000,0.5588902346097375,0.55935,0.5524587253500682,0.5662184799700721
