n,missing,c,trials,naive_accuracy,cover_accuracy,theoretical_naive_accuracy,theoretical_cover_accuracy
1024,10,64,20000,0.73505,0.49660000000000004,0.7385418217749771,0.5
1024,1024,64,20000,1.0,0.5038,1.0,0.5
